handle,text,url
jasonboyett,"In technical terms, these circles indicate our roof is MESSED. UP. #haildamage http://t.co/EmUKwVohvB",twitter.com/jasonboyett/statuses/347485686116524032
DaltonBrosKC,"New post on our blog! http://t.co/Vj8nCx7c7N
#daltonbrosrestoration #hail #haildamage #repair #kansascity #blog",twitter.com/DaltonBrosKC/statuses/347471276924870656
Awesomest_Mel,"Oh, this happened...my Dad informed me my car has #haildamage from the storm yesterday. How fun...NOT! #ScrewHail #WhatAreYouEvenGoodFor ðŸ˜¡",twitter.com/Awesomest_Mel/statuses/347302316464041984
ForeignRod,"After a couple of kids, chicks being lazy cuz NIGS been taking care of them. Those big #Donks start looking like #HAILDAMAGE",twitter.com/ForeignRod/statuses/347236751242305537
Rick_bigrock,Does your home have #haildamage? That is the best time to upgrade your homes exterior. Call us we can take care of your claim and upgrades.,twitter.com/Rick_bigrock/statuses/347210412040798208
ScottMages,I feel bad for these farmers crops near springfield #haildamage #doesntlookpretty,twitter.com/ScottMages/statuses/347134034616397824
dmarsh1045,"Half Dollar sized hail this aft in Mount Zion.  Woo!  Can you say #haildamage.  
Svr Tstorm Watch for Sang, Chrstn, Macon, Montg. Co till 9",twitter.com/dmarsh1045/statuses/347087136085909504
LilPQ06,My car got raped by the hail yesterday #PoorBradley #HailDamage ðŸ˜”,twitter.com/LilPQ06/statuses/346997576203112448
ScoopMcTail,"@jerhettschafer @KatieeeBeth1 

#Thanks! Thanks alot for #HailDamage",twitter.com/ScoopMcTail/statuses/346797888678002689
UKSteveSmith,Making friends in this parking garage waiting out this storm. Passing out some @LaGloriaCubana 's #spreadinggoodtimes #haildamage #LexVegas,twitter.com/UKSteveSmith/statuses/346767427545210880
k_van07,aaaaaand it's hailing again. my car is gonna seriously break. #haildamage,twitter.com/k_van07/statuses/346747778837381121
Emilymemmily,"Me: what's up with all the thunder?? It's sunny outside
Look other way: woah
Three seconds later: it's hailing
#HailDamage",twitter.com/Emilymemmily/statuses/346745037041840129
CodyLKendall,Here is hoping no hail damage:) Glad I bought dent insurance this time around!! #louisvilleweather #haildamage,twitter.com/CodyLKendall/statuses/346736686916595712
summerholbrook,Finally got my car back! #thankful #haildamage #honda http://t.co/2aE7d6Nzmq,twitter.com/summerholbrook/statuses/346733696717553664
Bubbaa_21,@j_holla1202 Got that cottage cheese #haildamage,twitter.com/Bubbaa_21/statuses/346674250117152768
